"Type","Unique.sample.ID.or.Species.Name","Image.file","which.object.number.speciman.number..MCZ....","which.slide.in.the.powerpoint","Age","Z1","A1","A2","B1","B2","B3","C1","C2","C3","D1","E1","E2","E3","E4","F1","G1","G2","G3","H1","I1","I2","I3","J1","J2","K1","K2","L1","L2","L3","L4","M1","M2","M3","M4","N1","N2","N3","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","Notes","X","Z1.1","A1.1","A2.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","E1.1","E2.1","E3.1","E4.1","F1.1","G1.1","G2.1","G3.1","H1.1","I1.1","I2.1","I3.1","J1.1","J2.1","K1.1","K2.1","L1.1","L2.1","L3.1","L4.1","M1.1","M2.1","M3.1","M4.1","N1.1","N2.1","N3.1","O1.1","O2.1","O3.1","O4.1","O5.1","O6.1","O7.1","O8.1","O9.1","O10.1","MDS1","MDS2","MDS3"
"Airplane","Oxynotus centrina","Reif","Pg. 120 B3",221,0,"Z1.2.Denticle","A1.2 Cruciform","A2.0 Not a Spade/too broken to code","B1.1 Straight (edge)","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.2 Scalloped margin texture","C3.1 Smooth","D1.1 None","E1.2 one","E2.2 Cusps defined by ridges","E3.0 No cusps/one cusp or too broken to code","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.4 three","G2.2 one","G3.1 no ridge outgrowths","H1.2 Converges from anterior","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.2 Concave Curved","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle","L3.3 Variable ridge height","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,2,0,1,2,1,3,2,1,1,2,2,0,1,2,4,2,1,2,4,1,3,2,1,1,0,5,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.389903505762952,-0.514577487336836,-0.159715913116611
"Angular Edged Diamond","ODP-886-060-7H-3W-130-133cm-g106_Hwell_N2of2_Mcompound_Oflat_I1_TzEDF-0_X5","ODP-886-060-7H-3W-130-133cm-g106_obj00033_edf","33",7,22.3102,"Z1.2.Denticle","A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like)","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.4 anterior is a vertex","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.2 one","E2.2 Cusps defined by ridges","E3.0 No cusps/one cusp or too broken to code","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.1 Straight","I3.4 Diamond-like","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.1 Only one ridge","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,5,0,4,4,1,4,4,1,2,2,2,0,1,2,2,2,1,0,2,1,4,0,0,1,0,2,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0785242265523075,0.12287526107487,-0.565147885883921
"Angular Straight Edge","DSDP-596-P017-L33-2H-3W-31-33cm-g106_Hwell_N1of1","DSDP-596-P017-L33-2H-3W-31-33cm-g106_Hwell_N1of1_obj00001","1",12,17.205,"Z1.2.Denticle","A1.5 Diamond/Rectangle/(Can be asymmetrical/kite-like)","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.1 Smooth","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.2 one","G2.2 one","G3.1 no ridge outgrowths","H1.0 Only one Ridge/No Ridges or too broken to code","I1.2 Only one Ridge","I2.1 Straight","I3.1 Parallel","J1.0 None/only one ridge or too broken to code","J2.0 None or too broken to code","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.1 Only one ridge","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,5,0,4,1,1,4,4,1,2,1,0,0,0,2,2,2,1,0,2,1,1,0,0,1,0,2,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0536495569260897,0.243190102317947,-0.382979911376775
"Arrowhead","DSDP-596-P033-L50-2H-6W-5-7cm-g106_Hwell_N1of1","DSDP-596-P033-L50-2H-6W-5-7cm-g106_Hwell_N1of1_obj00001","1",84,30.52,"Z1.2.Denticle","A1.9 Triangular or Arrow-like","A2.0 Not a Spade/too broken to code","B1.3 Pointed (vertex)","B2.4 anterior is a vertex","B3.1 Smooth","C1.3 Pointed","C2.3 Pointed margin texture","C3.1 Smooth","D1.1 None","E1.2 one","E2.1 Ridges not associated with cusps","E3.0 No cusps/one cusp or too broken to code","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.4 three","G2.4 three","G3.1 no ridge outgrowths","H1.1 Parallel","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.1 Ridge profiles or trough are rounded","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,9,0,3,4,1,3,3,1,1,2,1,0,1,2,4,4,1,1,4,1,3,1,1,1,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.508288329106254,-0.21856078980312,-0.15994317765907
"Asymmetrical Criss Cross","DSDP-596-P047-M51-2H-6W-135-137cm-g106_Hwell_N1of1","DSDP-596-P047-M51-2H-6W-135-137cm-g106_obj00008","8",NA,37.34,"Z1.2.Denticle","A1.7 Irregular/ other","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.4 anterior is a vertex","B3.2 Distinct serrated","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.2 Distinct serrated","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.7 six-ten","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,7,0,4,4,2,4,4,2,1,1,0,0,0,3,7,2,1,5,1,0,0,1,1,1,0,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.739430865323858,-0.47337600072411,-0.101088014812237
"Asymmetrical Kite with Oval Center","DSDP-596-P039-L51-2H-6W-57-59cm-g106_Hwell_N1of1","DSDP-596-P039-L51-2H-6W-57-59cm-g106_Hwell_N1of1_obj00013","13",97,33.31,"Z1.2.Denticle","A1.2 Cruciform","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.4 anterior is a vertex","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.7 six-ten","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.4 Quadrilateral","K2.1 central shape but no plane of symmetry","L1.5 Includes ridges described by a combination of 1,2, 3,","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.2 one","M2.3 Dimples (depressions surrounded by ridges)","M3.1 Central depression","M4.2 Elongated","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,2,0,4,4,1,4,4,1,1,1,0,0,0,3,7,2,1,5,1,0,0,1,1,4,1,5,3,2,2,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.655083729999642,-0.198777653323115,-0.0169552522798977
"Asymmetrical Kite with Ridged Mound","Etmopterus virens","Reif","Pg. 110 B1",197,0,"Z1.2.Denticle","A1.2 Cruciform","A2.0 Not a Spade/too broken to code","B1.4 Denticle lacks directionality/Cannot discern anterior","B2.4 anterior is a vertex","B3.1 Smooth","C1.4 Denticle lacks directionality/Cannot discern posterior","C2.4 Posterior is a vertex","C3.1 Smooth","D1.1 None","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.5 four","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.1 Straight","J2.1 Parallel","K1.8 Mound","K2.1 central shape but no plane of symmetry","L1.3 Ridge ends mid crown/ Ridge begins mid crown","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.4 Honeycomb surface texture","N2.5 Middle of crown only","N3.3 Greater than 70%","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,2,0,4,4,1,4,4,1,1,1,0,0,0,3,5,2,1,5,1,0,0,1,1,8,1,3,3,2,2,1,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0.645116134130295,-0.0488357875514904,-0.194111626533449
"Big Three Ridge","DSDP-596-P033-L49-2H-5W-129-131cm-g106_Hwell_N1of1","DSDP-596-P033-L49-2H-5W-129-131cm-g106_Hwell_N1of1_obj00021","21",83,29.14,"Z1.2.Denticle","A1.4 Spade","A2.3 Pointed Spade","B1.2 Rounded","B2.2 Scalloped margin texture","B3.1 Smooth","C1.3 Pointed","C2.3 Pointed margin texture","C3.1 Smooth","D1.2 one","E1.4 three","E2.2 Cusps defined by ridges","E3.2 Central cusp is distinct","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.4 three","G2.4 three","G3.1 no ridge outgrowths","H1.1 Parallel","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.3 Triangular thinning from anterior","J1.1 Straight","J2.3 Triangular thinning from anterior","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.2 Ridge length=lateral length","L2.3 Clearly Defined","L3.3 Variable ridge height","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,4,3,2,2,1,3,3,1,2,4,2,2,1,2,4,4,1,1,4,1,3,1,3,1,0,2,3,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.602676941601815,-0.0869634475842496,-0.0198299843341447
"Bilateral Fan","ODP-886-140-7H-6W-105-108cm-g106_Hwell_N2of3_Mcompound_Oflat_I1_TzEDF-0_X5","ODP-886-140-7H-6W-105-108cm-g106_obj00006_edf","6",140,35.66296,"Z1.2.Denticle","A1.8 “Fan-like”","A2.0 Not a Spade/too broken to code","B1.3 Pointed (vertex)","B2.4 anterior is a vertex","B3.1 Smooth","C1.2 Rounded","C2.2 Scalloped margin texture","C3.1 Smooth","D1.2 one","E1.9 eight","E2.3 Some cusps defined by ridges","E3.1 Cusps are same length/width/shape","E4.1 x < ¼ ","F1.2 Linear (can tell directionality-anterior/posterior, ridges only curve in a max. 1 way-not wavy)","G1.8 eleven or more","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.4 Distinct shape/size from other ridges","I2.1 Straight","I3.1 Parallel","J1.2 Concave Curved","J2.1 Parallel","K1.1 Ridges present but no central shape observed","K2.0 No central shape or too broken to code","L1.3 Ridge ends mid crown/ Ridge begins mid crown","L2.3 Clearly Defined","L3.2 equal ridge heights","L4.2 Ridge profiles or troughs are triangular","M1.1 None","M2.0 No depression or too broken to code","M3.0 No depression or too broken to code","M4.0 none or too broken to code","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,8,0,3,4,1,2,2,1,2,9,3,1,1,2,8,2,1,5,4,1,1,2,1,1,0,3,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.295894762986509,-0.434705034615083,0.0298351029420599
"Bilateral Polygon","DSDP-596-P049-L55-2H-7W-5-7cm-g106_Hwell_N1of1","DSDP-596-P049-L55-2H-7W-5-7cm-g106_Hwell_N1of1_obj00008","8",109,38.34,"Z1.2.Denticle","A1.8 “Fan-like”","A2.0 Not a Spade/too broken to code","B1.3 Pointed (vertex)","B2.4 anterior is a vertex","B3.1 Smooth","C1.2 Rounded","C2.2 Scalloped margin texture","C3.1 Smooth","D1.2 one","E1.1 None","E2.0 No cusps or too broken to code","E3.0 No cusps/one cusp or too broken to code","E4.0 No cusps or too broken to code","F1.3 Geometric (Central branching pattern)","G1.7 six-ten","G2.2 one","G3.1 no ridge outgrowths","H1.5 Ridges intesect/branch","I1.1 No central ridge","I2.0 None or too broken to code","I3.0 None or too broken to code","J1.5 Combination","J2.1 Parallel","K1.9 Octagon","K2.2 one","L1.3 Ridge ends mid crown/ Ridge begins mid crown","L2.2 Clearly defined on part of the crown but gets shallower and does not extend to full length of denticle","L3.3 Variable ridge height","L4.2 Ridge profiles or troughs are triangular","M1.2 one","M2.3 Dimples (depressions surrounded by ridges)","M3.2 Close to edge depression","M4.3 Teardrop (smooth curve)","N1.2 No secondary ridge features","N2.0 None","N3.0 None","O1.0 Base not preserved/too broken to code","O2.0 Base not preserved/too broken to code","O3.0 Base not preserved/too broken to code","O4.0 Base not preserved/too broken to code","O5.0 Base not preserved/too broken to code","O6.0 No root opening or base not preserved/too broken to code","O7.0 Base not preserved/too broken to code","O8.0 Base not preserved/too broken to code","O9.0 Base not preserved/too broken to code","O10.0 Base not preserved/too broken to code",NA,NA,2,8,0,3,4,1,2,2,1,2,1,0,0,0,3,7,2,1,5,1,0,0,5,1,9,2,3,2,3,2,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.451980346944878,-0.229137631904259,0.474170388268144
